Distance,fA,fB,fAB
479157,0.0166578,0.723067,1.13414e-05
348940,0.0128758,0.0489975,2.48503e-07
67893,0.0128758,0.723067,0.0128754
281047,0.0489975,0.723067,0.000239154
549628,0.16718,0.0104649,6.21809e-06
346123,0.16718,1.0,0.16718
406456,0.16718,0.208748,0.00294259
345270,0.16718,0.756269,0.162856
83772,0.16718,0.128871,0.000701753
1566,0.16718,0.167181,0.167178
458901,0.16718,0.0245706,1.4962e-05
213214,0.16718,0.200118,0.00294182
103300,0.16718,0.0257418,1.95074e-05
276764,0.16718,0.0259395,0.00124304
459800,0.16718,0.579171,0.000179063
260249,0.16718,0.590869,0.000176754
276442,0.16718,0.981334,0.164756
352658,0.16718,0.0204886,0.000992394
156530,0.16718,0.013447,5.77881e-07
471417,0.16718,0.17549,0.162764
344072,0.16718,1.0,0.16718
262719,0.16718,0.591002,0.000177222
272770,0.16718,0.981402,0.164764
420755,0.16718,0.0246238,1.56505e-06
895751,0.0104649,1.0,0.0104649
143172,0.0104649,0.208748,0.0104616
894898,0.0104649,0.756269,6.67398e-06
633400,0.0104649,0.128871,8.52792e-06
551194,0.0104649,0.167181,6.21489e-06
90727,0.0104649,0.0245706,2.17133e-06
336414,0.0104649,0.200118,0.0104614
446328,0.0104649,0.0257418,2.24023e-06
826392,0.0104649,0.0259395,5.06185e-05
89828,0.0104649,0.579171,3.65818e-06
809877,0.0104649,0.590869,1.21969e-05
273186,0.0104649,0.981334,0.0104647
902286,0.0104649,0.0204886,9.67678e-06
706158,0.0104649,0.013447,1.33096e-07
78211,0.0104649,0.17549,2.22743e-06
893700,0.0104649,1.0,0.0104649
812347,0.0104649,0.591002,1.25852e-05
276858,0.0104649,0.981402,0.0104647
128873,0.0104649,0.0246238,1.19296e-07
752579,1.0,0.208748,0.208748
853,1.0,0.756269,0.756269
262351,1.0,0.128871,0.128871
344557,1.0,0.167181,0.167181
805024,1.0,0.0245706,0.0245706
559337,1.0,0.200118,0.200118
449423,1.0,0.0257418,0.0257418
69359,1.0,0.0259395,0.0259395
805923,1.0,0.579171,0.579171
85874,1.0,0.590869,0.590869
622565,1.0,0.981334,0.981334
6535,1.0,0.0204886,0.0204886
